index,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,time_margin
50,,,,,,,,,2.958620689655172775e+00,1.383310344827586214e+01,1.230000000000000071e+01,-3.131034482758621174e+00,-3.300000000000000155e-01,-4.413793103448275801e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
51,,,,,,,,,2.889655172413793327e+00,1.384827586206896655e+01,1.230000000000000071e+01,-3.182758620689655427e+00,-3.300000000000000155e-01,-4.403448275862068328e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
52,,,,,,,,,2.820689655172413879e+00,1.386344827586206918e+01,1.230000000000000071e+01,-3.234482758620689680e+00,-3.300000000000000155e-01,-4.393103448275861744e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
53,,,,,,,,,2.751724137931034875e+00,1.387862068965517182e+01,1.230000000000000071e+01,-3.286206896551724377e+00,-3.300000000000000155e-01,-4.382758620689655160e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
54,,,,,,,,,2.682758620689655427e+00,1.389379310344827623e+01,1.230000000000000071e+01,-3.337931034482758630e+00,-3.300000000000000155e-01,-4.372413793103447688e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
55,,,,,,,,,2.613793103448275978e+00,1.390896551724137886e+01,1.230000000000000071e+01,-3.389655172413793327e+00,-3.300000000000000155e-01,-4.362068965517241104e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
56,,,,,,,,,2.544827586206896974e+00,1.392413793103448327e+01,1.230000000000000071e+01,-3.441379310344827580e+00,-3.300000000000000155e-01,-4.351724137931034520e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
57,,,,,,,,,2.475862068965517526e+00,1.393931034482758591e+01,1.230000000000000071e+01,-3.493103448275862277e+00,-3.300000000000000155e-01,-4.341379310344827047e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
58,,,,,,,,,2.406896551724138078e+00,1.395448275862069032e+01,1.230000000000000071e+01,-3.544827586206896974e+00,-3.300000000000000155e-01,-4.331034482758620463e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
59,,,,,,,,,2.337931034482759074e+00,1.396965517241379295e+01,1.230000000000000071e+01,-3.596551724137931227e+00,-3.300000000000000155e-01,-4.320689655172413879e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
60,,,,,,,,,2.268965517241379182e+00,1.398482758620689737e+01,1.230000000000000071e+01,-3.648275862068965480e+00,-3.300000000000000155e-01,-4.310344827586206407e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
61,,,,,,,,,2.200000000000000178e+00,1.400000000000000000e+01,1.230000000000000071e+01,-3.700000000000000178e+00,-3.300000000000000155e-01,-4.299999999999999822e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
